Format Import Sarana					RS Umum  Mutia Sari			
Kode Faskes	1408055							
Form	f1							
								
mark	Sarana			Tersedia	Tahun		Kondisi	Keterangan
1707			Ruangan Penyimpanan Linen	Ada	2016		Baik	
934			Toilet( Petugas, Pasien, Pengunjung)	Ada	2016		Baik	
623			Ruang Bersalin Tanpa Komplikasi (VK/delivery)	Ada	2015	2018	Baik	
630			Gudang Barang Bersih	Ada	2016		Baik	
629			Ruang Ganti Pakaian/ Loker	Ada	2018		Baik	
634			Ruang Perawat/Petugas	Ada	2018		Baik	
631			Ruangan Janitor/ Utilitas Kotor	Ada	2016		Baik	
1029			Gudang Kotor (Spoolhoek/Dirty Utility)	Ada	2019		Baik	
628			Ruang Menyusui dan KIE	Ada	2020		Baik	
1024			Ruang Perawatan Isolasi tipe tekanan standar (kelas S)	-			Baik	
625			Tindakan 	Ada	2016		Baik	
626			Periksa/Triage	Ada	2021		Baik	
633			Pos Jaga Perawat/Nurse Station	Ada	2021		Baik	
1020			Ruangan Laktasi + KIE	Ada	2022		Baik	
1531			Ruangan USG	Ada	2021		Baik	
90207			Ruang Perawatan Isolasi tipe tekanan positif (kelas P)	-			Baik	
90208			Ruang Perawatan Isolasi tipe tekanan negatif (kelas N)	-			Baik	
1039			Pantry					
**		Pelayanan Rawat Intensif Jiwa (UPIP)						
90017			Ruangan Administrasi	-			Baik	
90014			Ruangan Rawat Intensive Pasien Jiwa Isolasi	-			Baik	
90013			Ruangan Rawat Intensive Pasien Jiwa Non Isolasi	-			Baik	
90016			Ruangan Perawat UPIP	-			Baik	
90015			Ruangan Dokter UPIP	-			Baik	
90019			Toilet Petugas	-			Baik	
**		Pelayanan Jantung Terpadu						
1852			Gudang Instrumen dan Linen Bersih	-			Baik	
1830			Ruang Pemulihan	-			Baik	
1826			Ruang Ganti Pasien	-			Baik	
1815			Ruang ICCU Jantung dan Pembuluh Darah	-			Baik	
1833			Ruang Persiapan	-			Baik	
1837			Ruang Ganti Petugas/Loker	-			Baik	
1829			Ruang Kepala Instalasi	-			Baik	
1855			Ruang Resident	-			Baik	
1827			Ruang Klinik Spesialis Jantung & Pembuluh Darah, Sub Spesialis	-			Baik	
1814			Ruang Jantung Anak	-			Baik	
955			Pelayanan Jantung Terpadu	-			Baik	
1816			Ruang ICCU Jantung dan Pembuluh Darah VIP	-			Baik	
1817			Ruang Bedah Jantung	-			Baik	
1818			Ruang Cathlab	-			Baik	
1819			Ruang Echo	-			Baik	
1822			Ruang Intermediet VIP	-			Baik	
1820			Ruang Emergency Jantung	-			Baik	
1821			Ruang Intermediet Regular	-			Baik	
1824			Ruang Dokter Jaga	-			Baik	
1823			Ruang Dokter	-			Baik	
1825			Ruang Farmasi	-			Baik	
1828			Ruang Konseling	-			Baik	
1831			Ruang Peralihan	-			Baik	
1832			Ruang Perawat	-			Baik	
1834			Ruang Treadmill	Ada	2022		Baik	untuk 2 unit treadmill
1835			Ruang Tunggu	-			Baik	
1836			Ruang Tunggu VIP	-			Baik	
1838			Ruang Pendaftaran	-			Baik	
1839			Ruang Administrasi	-			Baik	
1840			Ruang Alat	-			Baik	
20219			Ruangan Lab Elektro Phisiology (EP)	-			Baik	
1856			Pantry	-			Baik	
1854			Gudang Maintenance	-			Baik	
1853			Gudang Kotor (Spoelhock/Dirty Utility)	-			Baik	
1851			Gudang Alat Medis	-			Baik	
1841			Nurse Station / Central Monitoring	-			Baik	
1842			Ruang Rekam Medis	-			Baik	
1843			Ruang Inventaris	-			Baik	
1844			Ruang Gas Center	-			Baik	
1845			Toilet Pasien	-			Baik	
1846			Toilet Pengunjung	-			Baik	
1847			Toilet Petugas	-			Baik	
1848			Toilet Pegawai	-			Baik	
1849			Ruang Kepala Staf Medik Fungsional	-			Baik	
1850			Ruang Sekretariat Staf Medik Fungsional (SMF)	-			Baik	
**		Pelayanan Neonatus (Bayi)						
646			Ruangan Cuci Alat	Ada	2016		Baik	
645			Pos Jaga Perawat/Nurse Station	Ada	2016		Baik	
644			Ruangan Petugas	-			Baik	
639			Ruangan Neonatus Level III	-			Baik	
637			Ruangan Neonatus Level I	-			Baik	
638			Ruangan Neonatus Level II	-			Baik	
640			Ruangan Isolasi Neonatus	-			Baik	
641			Ruangan Tindakan	Ada	2016		Baik	
642			Ruangan Loker/Ganti	Ada	2016		Baik	
643			Ruangan Laktasi/Menyusui	Ada	2016		Baik	
647			Gudang Barang Bersih	Ada	2016		Baik	
648			Ruangan Utilitas Kotor	Ada	2016		Baik	
649			Ruangan Tunggu	Ada	2016		Baik	
935			Toilet Petugas	Ada	2016		Baik	
**		Pelayanan Khusus International						
20204			Ruangan Klinik Sp. Mata	-			Baik	
20197			Admision	-			Baik	
20209			Ruangan Tindakan Sp. Bedah Umum	-			Baik	
20199			Depo Obat (Satelit)	-			Baik	
20196			Cafetaria	-			Baik	
20198			Bank	-			Baik	
20200			ESWL	-			Baik	
20201			Ruangan Klinik Sp. Jantung	-			Baik	
20202			Ruangan Klinik Sp. Kebidanan dan Kandungan	-			Baik	
20203			Ruangan Klinik Sp. Bedah	-			Baik	
20205			Ruangan Klinik Sp. Orthopedi	-			Baik	
20206			Ruangan Triage	-			Baik	
20207			Ruangan Ganti/Loker Laki-Laki	-			Baik	
20208			Ruangan Ganti/Loker Perempuan	-			Baik	
20210			Ruangan Pemulihan	-			Baik	
20211			Ruangan Jaga Perawat	-			Baik	
20212			Toilet Pasien	-			Baik	
20213			Toilet Petugas	-			Baik	
**		Pelayanan Rawat Jalan						
907			Ruangan Sp. Kedokteran Nuklir	-			Baik	
1349			Ruangan Klinik Umum	Ada	2016		Baik	
103			Ruangan Klinik Sp. Kesehatan Anak	Ada	2016		Baik	2 DOKTER 
105			Ruangan Klinik Sp. Kebidanan dan Kandungan	Ada	2016		Baik	
917			Ruangan Sp. Patologi Anatomi	-			Baik	
930			Ruangan Sp. Radiologi	Ada	2023		Baik	
923			Ruang Medical Check-up	Ada	2017		Baik	
925			Toilet Petugas	-			Baik	
1462			Ruangan Klinik Anak B	-			Baik	
20229			Ruangan CVC	-			Baik	
102			Ruangan Klinik Sp. Penyakit Dalam	Ada	2010		Baik	
129			Ruangan Klinik Sp. Paru + Pernafasan	Ada	2018		Baik	
128			Ruangan Klinik Sp. Jantung & Pembuluh Darah, Sub Spesialis	Ada	2022		Baik	
104			Ruangan Klinik Sp. Bedah	Ada	2015		Baik	
133			Ruangan Klinik Sp. Bedah Orthopaedi Umum & Sub Spesialistik	Ada	2017		Baik	
106			Ruangan Klinik Sp. Mata & Sub Spesialistik	Ada	2017		Baik	
108			Ruangan Klinik dr. Gigi umum, Gigi Spesialis dan Gigi Sub Spesialis 	Ada	2023		Baik	
107			Ruangan Klinik Sp. THT dan THT	Ada	2017		Baik	
131			Ruangan Klinik Sp. Saraf/ Neurologi & Sub Spesialistik	Ada	2017		Baik	
132			Ruangan Klinik Sp. Kulit dan Kelamin	Ada	2016		Baik	
130			Ruangan Klinik Sp. Kedokteran Jiwa/ Psikiatri	-			Baik	
978			Ruangan Tindakan Sp. Paru dan Pernafasan	-	2016		Baik	
980			Ruangan Tindakan Sp. THT	-	2017		Baik	
981			Ruangan Tindakan Sp. Bedah Syaraf	-			Baik	
983			Ruangan Tindakan Sp. Bedah Umum/ Bedah	-	2015		Baik	
982			Ruangan Tindakan Sp. Kulit dan Kelamin	-	2016		Baik	
135			Ruangan Klinik Sp. Bedah Syaraf	-			Baik	
1567			Ruangan Kesehatan Jiwa Masyarakat	-			Baik	
977			Ruangan Tindakan Sp. Penyakit Dalam	-			Baik	
134			Ruangan Klinik SP. Bedah Plastik	-			Baik	
136			Ruangan Klinik Sp. Urologi	-			Baik	
137			Ruangan Sp. Onkologi Radiasi	-			Baik	
138			Ruangan Sp. Anestesiologi & Terapi Intensif	Ada	2016		Baik	
139			Ruangan Sp. Gizi Klinik	-			Baik	
140			Ruangan Sp. Geriatri	-			Baik	
141			Ruangan Sp. Akupuntur Klinik	-			Baik	
200			Ruangan Sp. Kedokteran Fisik & Rehabilitasi	-			Baik	
896			Ruangan Sp. Kedokteran Okupasi	-			Baik	
897			Ruangan Sp. Andrologi	-			Baik	
898			Ruangan Sp. Bedah Anak	-			Baik	
899			Ruangan Sp. Bedah Mulut & Maksilofasial	-			Baik	
900			Ruangan SP. Bedah Plastik Rekonstruksi & Estetik	-			Baik	
901			Ruangan Sp. Bedah Toraks Kardiovaskuler	-			Baik	
902			Ruangan Sp. Kedokteran Forensik & Medikolegal	-			Baik	
903			Ruangan Sp. Farmokologi Klinik	-			Baik	
904			Ruangan Sp. Konservasi Gigi	-			Baik	
905			Ruangan Sp. Kedokteran Gigi Anak	-			Baik	
908			Ruangan Sp. Kedokteran Olahraga	-			Baik	
909			Ruangan Sp. Ortodonsia	-			Baik	
911			Ruangan Sp. Prostodonsia	-			Baik	
910			Ruangan Sp. Penyakit Mulut	-			Baik	
913			Ruangan Sp. Radiologi Kedokteran Gigi	-			Baik	
914			Ruangan Sp. Mikrobiologi Klinik	-			Baik	
915			Ruangan Sp. Parasitologi Klinik	-			Baik	
916			Ruangan Sp. Periodonsia	-			Baik	
918			Ruangan Sp. Patologi Klinik	-			Baik	
920			Ruangan Administrasi	Ada	2016		Baik	
919			Ruangan Tunggu	Ada	2016		Baik	
922			Ruangan Rekam Medis	Ada	2016		Baik	
924			Ruangan Laktasi	Ada	2024		Baik	"{""nama"":""Laktasi"",""ket"":""""}"
926			Toilet Pasien	Ada	2016		Baik	
927			Ruangan Janitor	-			Baik	
928			Ruangan Kepala IRJ	-			Baik	
929			Ruangan JKN/Askes	Ada	2016		Baik	
933			Ruangan Sp. Kedokteran Penerbangan	-			Baik	
957			Ruangan Pelayanan Hemodialisa	-			Baik	
1351			Ruangan Klinik Kusta	-			Baik	
1352			Ruangan Klinik VCT	-			Baik	
1353			Ruangan Klinik CST	-			Baik	
1443			Ruangan Klinik Onkologi Medik A	-			Baik	
1444			Ruangan Klinik Onkologi Medik B	-			Baik	
1445			Ruangan Klinik Onkologi Medik C	-			Baik	
1446			Ruangan Klinik Onkologi Bedah A	-			Baik	
1447			Ruangan Klinik THT Onkologi A	-			Baik	
1448			Ruangan Klinik THT Onkologi C	-			Baik	
1449			Ruangan Klinik Kulit Kelamin A	-			Baik	
1450			Ruangan Klinik Kulit Kelamin B	-			Baik	
1451			Ruangan Klinik Kulit Kelamin C	-			Baik	
1452			Ruangan Klinik Paru Onkologi A	-			Baik	
1453			Ruangan Klinik Paru Onkologi B	-			Baik	
1454			Ruangan Klinik Paru Onkologi C	-			Baik	
1455			Ruangan Klinik Digestif Onkologi A	-			Baik	
1456			Ruangan Klinik Digestif Onkologi C	-			Baik	
1457			Ruangan Klinik Neurologi A	-			Baik	
1458			Ruangan Klinik Neurologi C	-			Baik	
1459			Ruangan Klinik Bedah Saraf A	-			Baik	
1460			Ruangan Klinik Bedah Saraf B	-			Baik	
1461			Ruangan Klinik Anak A	-			Baik	
1463			Ruangan Klinik Anak C	-			Baik	
1464			Ruangan Pemeriksaan EKG A	-			Baik	
90215			Ruangan Klinik Vaksin	-			Baik	
90197			Ruangan Klinik Kosmetik & Anti Aging	-			Baik	
1465			Ruangan Klinik Lab A	-			Baik	
1541			Ruangan Tumbuh Kembang(Psiakitri) anak & remaja	-			Baik	
1555			Ruangan Klinik Psikogeriatri	-			Baik	
1559			Ruangan Klinik Psikometri	-			Baik	
1560			Ruangan Klinik Gangguan Mental Organik	-			Baik	
1561			Ruangan Klinik Ketergantungan Obat/NAPZA	-			Baik	
1563			Ruangan Konseling	-			Baik	
1569			Ruangan Penyuluhan PKMRS	-			Baik	
1858			Ruangan Klinik Psikologi	-			Baik	
20214			Ruangan Klinik Hiperbarik	-			Baik	
20215			Ruangan Klinik Rabies	-			Baik	
20216			Ruangan Klinik Diabetic	-			Baik	
20217			Ruangan Klinik Sp. Bedah Urology	-			Baik	
20218			Ruangan Klinik Sp. Bedah Digestif	-			Baik	
20223			Ruangan Klinik Nyeri	-			Baik	
90009			Ruangan Klinik Psikososial	-			Baik	
90010			Ruangan Terapi Rumatan Metadon	-			Baik	
90011			Ruangan Terapi Rumatan	-			Baik	
90049			Ruangan Klinik Orthopedi	-			Baik	
90048			Ruangan Klinik Penyakit Infeksi	-			Baik	
90080			Ruangan Tindakan Sp. Bedah Orthopedi	-			Baik	
90148			Ruangan Poli Khusus	-			Baik	
90191			Ruangan  Tindakan Sp. Bedah Urology	-			Baik	
90200			Ruangan Pelayanan Hiperbarik	-			Baik	
**		Pelayanan Prosedur Diagnostik						
1441			Ruang Tunggu Pasien R.Jalan	-			Baik	
1442			Ruang Tunggu Pasien R.Inap	-			Baik	
1433			Ruangan Administrasi	-			Baik	
1434			Ruangan Ginekologi	-			Baik	
1435			Ruangan Ginekologi Tindakan	-			Baik	
1438			Ruangan Tindakan BMP	-			Baik	
1436			Ruangan Saluran Cerna	-			Baik	
1437			Ruangan Saluran Napas	-			Baik	
1439			Ruangan Jaringan Lunak	-			Baik	
1440			Ruangan Kardiologi	-			Baik	
**		Pelayanan Gawat Darurat						
866			Ruangan Administrasi dan Pendaftaran	Ada	2016		Baik	
865			Ruangan Tunggu Pengantar Pasien/Keluarga	Ada	2016		Baik	
954			Ruangan Tindakan	Ada	2016		Baik	
963			Ruangan Linen Steril	Ada	2016		Baik	
874			Area Penyimpanan Alat Medik	Ada	2016		Baik	
871			Ruangan Pos Perawat/Nurse Station	Ada	2016		Baik	
877			Ruangan Petugas/Staf/Perawat	Ada	2016		Baik	
878			Gudang Kotor (Ruangan Spoel Hoek/ Dirty Utility)	Ada	2016		Baik	
879			Toilet Petugas	Ada	2016		Baik	
870			Ruangan Observasi	Ada	2015	2017	Baik	ADA 4 BAD
967			Ruangan Gas Medis	Ada	2016	2018	Baik	
962			Ruangan Isolasi tipe tekanan standar (kelas S)	Ada	2018		Baik	
110			Ruangan Triase	Ada	2019		Baik	
150			Ruangan Resusitasi	Ada	2019		Baik	
868			Ruangan Dekontaminasi	Ada	2022		Baik	
961			Ruangan Persiapan Bencana Massal	-			Baik	
964			Ruangan Dokter Konsulen	-			Baik	
867			Ruangan Strectcher/Brangkar	Ada	2019		Baik	
968			Ruangan Parkir Troli/ Kursi Roda	Ada	2019		Baik	
109			Umum	-			Baik	
111			Ruangan Bedah	-			Baik	
112			Medical	-			Baik	
113			Ruangan Pediatry/Anak	-			Baik	
114			Ruangan Kebidanan dan Kandungan	Ada	2021		Baik	
115			Supporting	-			Baik	
116			Intermediate Word	-			Baik	
117			High Care Unit	-			Baik	
118			Oneday Care	-			Baik	
869			Ruangan non Bedah	-			Baik	
873			Area Penyimpanan Linen Bersih	Ada	2016		Baik	
875			Ruangan Radiologi Cito	-			Baik	
876			Ruangan Laboratorium Standar	-			Baik	
880			Toilet Pengantar/Keluarga Pasien	-			Baik	
881			Ruangan Sterilisasi	-			Baik	
882			Ruangan Loker Petugas/Staf	-			Baik	
883			Ruangan Janitor	-			Baik	
90204			Ruangan Isolasi tipe tekanan negatif (kelas N)	-			Baik	
90203			Ruangan Isolasi tipe tekanan positif (kelas P)	-			Baik	
30003			Ruangan Gaduh Gelisah	-			Baik	
20193			Ruangan Tindakan 2	Ada	2016		Baik	
1959			Peralatan Mobil Jenazah II	-			Baik	
1958			Peralatan Mobil Jenazah I	-			Baik	
1759			Peralatan Ambulance Gawat Darurat III	-			Baik	
1753			Peralatan Ambulance Transport II	-			Baik	
1754			Peralatan Ambulance Transport III	-			Baik	
1755			Peralatan Ambulance Transport IV	-			Baik	
1756			Peralatan Ambulance Gawat Darurat I	-			Baik	
1757			Peralatan Ambulance Gawat Darurat II	-			Baik	
1760			Peralatan Ambulance Gawat Darurat IV	-			Baik	
1424			Toilet Pasien	Ada	2016		Baik	
1425			Ruangan Kepala	-			Baik	
1426			Ruangan Dokter Jaga	Ada	2016		Baik	
965			Ruangan Kepala IGD	-			Baik	
969			Peralatan Ambulance Transport I	-			Baik	
1423			Ruangan DOA	-			Baik	
960			Ruangan Rekam Medik					
872			Area/ Ruangan/ Depo Obat (Satelit)					
**		Pelayanan Rawat Inap						
606			Ruangan Perawatan Anak	Ada	2016		Baik	
1222			Ruangan Perawatan Dewasa Laki-Laki	Ada	2016		Baik	
1223			Ruangan Perawatan Dewasa Perempuan	Ada	2016		Baik	
884			Ruangan Stasi Perawat/Nurse Station	Ada	2016		Baik	
1224			Ruangan Perawat	Ada	2016		Baik	
893			Toilet Pasien	Ada	2016		Baik	
1227			Dapur Kecil (Pantry)	Ada	2016		Baik	
895			Janitor/ Ruang Petugas Kebersihan	Ada	2016		Baik	
892			Toilet Petugas/ Pengunjung	Ada	2016		Baik	
885			Ruangan Linen Bersih	Ada	2018		Baik	
886			Ruangan Linen Kotor	Ada	2018		Baik	
1225			Ruangan Kepala Instalasi Rawat Inap	Ada	2018		Baik	
1226			Ruangan Loker	Ada	2018		Baik	
588			Ruangan Perawatan Obstetri dan Ginekologi	Ada	2017		Baik	
591			Ruangan Perawatan Penyakit Dalam/ Sp. THT/ Sp. Syaraf	Ada	2018		Baik	
739			Ruangan Perawatan Perinatologi	Ada	2017		Baik	
894			Gudang Kotor (Spoel Hoek/ Dirty Utility) + Janitor/ Ruang Petugas Kebersihan	Ada	2016		Baik	
1228			Gudang Bersih	Ada	2019		Baik	
201			Rawat Inap	Ada	2016		Baik	
723			Ruangan Perawatan Bedah Umum/ Sp. Bedah Syaraf/ Sp. Ortopedi Umum/ Ortopedi Spesialistik	Ada	2016		Baik	
618			Ruangan Perawatan Jiwa/ Psikiatri	-			Baik	
620			Ruangan Perawatan Sp. Jantung dan Pembuluh Darah	-			Baik	
617			Ruangan Perawatan Paru + Pernafasan	-			Baik	
890			Ruangan Dokter Jaga	Ada	2018		Baik	
1229			High Care Unit (HCU)	Ada	2023		Baik	
1230			Ruangan Perawatan Isolasi tipe tekanan standar (kelas S)	-			Baik	
90202			Ruangan Perawatan Isolasi tipe tekanan positive (kelas P)	-			Baik	
90201			Ruangan Perawatan Isolasi tipe tekanan negative (Kelas N)	-			Baik	
143			Bangsal	-			Baik	
144			Rawat Inap Kelas III	Ada	2016		Baik	
147			Rawat Utama / VIP / VVIP	Ada	2016		Baik	
888			Tindakan	Ada	2016		Baik	
146			Rawat Inap Kelas I	Ada	2016		Baik	
938			Rawat Inap Kelas III Pria	-			Baik	
956			Rawat Inap Kelas III Wanita	-			Baik	
145			Rawat Inap Kelas II	Ada	2016		Baik	
958			Rawat Inap Kelas II Pria	-			Baik	
959			Rawat Inap Kelas II Wanita	-			Baik	
1428			Depo Farmasi	-			Baik	
1429			Ruangan Kepala	Ada	2016		Baik	
1430			Ruangan RIIM	-			Baik	
1527			ICVCU	-			Baik	
1538			Ruangan Jiwa	-			Baik	
1539			Ruangan Fisik	-			Baik	
1540			Ruangan Psikiatri anak & remaja	-			Baik	
1564			Ruangan Rawat Inap Forensik	-			Baik	
1565			Ruangan Rawat Jiwa Intensif	-			Baik	
1859			Ruang Rawat Inap NAPZA	-			Baik	
20230			Ruangan CVC	-			Baik	
30004			Ruangan Perawatan Umum	-			Baik	
30005			Ruangan Bayi	Ada	2016		Baik	
90139			Ruangan Perawatan Mata	-			Baik	
90149			Rawat Inap Kelas I Utama	Ada	2017		Baik	
887			Konsultasi	-			Baik	
889			Ruangan Administrasi dan pendaftaran	-			Baik	
**		Pelayanan Bedah Sentral (OK)						
974			Ruang Pendaftaran	Ada	2016		Baik	
976			Ruang Tunggu	Ada	2016		Baik	
998			Ruang Transfer (Ganti Brankar) + Parkir Brankar	Ada	2016		Baik	
163			Ruangan Persiapan	Ada	2016		Baik	
847			Area Scrub Station	Ada	2016		Baik	
599			Ruangan Bedah Minor/endoscopy	-	2016		Baik	
165			Ruangan Recovery/Pemulihan	Ada	2016		Baik	
1000			Ruangan Ganti Pakaian/loker	Ada	2016		Baik	
846			Ruangan Dokter/Staf	Ada	2016		Baik	
992			Ruangan Perawat	Ada	2016		Baik	
858			Toilet Petugas	Ada	2016		Baik	
999			Gudang Steril (Clean Utility)	Ada	2018		Baik	
609			Ruangan Bedah Umum	Ada	2016		Baik	
850			Ruangan Janitor	Ada	2016		Baik	
848			Ruangan Spoel Hoek	Ada	2016		Baik	
996			Depo Farmasi (Satelit)	Ada	2022		Baik	"{""nama"":""Depo IGD"",""ket"":""""}"
153			Operasi Kateterisasi Jantung (Cathlab)	-			Baik	
188			Sterilisasi	-			Baik	
199			Bedah Central	-			Baik	
208			Endoscopy	-			Baik	
844			Ruangan Tunggu Pengantar/Keluarga	Ada	2016		Baik	
845			Ruangan Ganti Pakaian Petugas	Ada	2016		Baik	
849			Ruangan Linen/Alat Steril	Ada	2016		Baik	
851			Ruangan Administrasi	Ada	2016		Baik	
1411			Ruangan Kepala	-			Baik	
1412			Ruangan Kepala Instalasi	-			Baik	
1413			Pantry	-			Baik	
1414			Ruang Penjelasan	-			Baik	
1415			Gudang 1	-			Baik	
1416			Gudang 2	-			Baik	
1417			Gudang 3	-			Baik	
1418			Ruangan Diskusi	-			Baik	
1419			Ruangan Monitor	Ada	2016		Baik	
91316			Ruangan Operasi Hybrid					
**		Pelayanan Perawatan Intensif  Bayi (NICU)						
1258			Ruangan Perawat NICU	-			Baik	
1257			Loker (Ruang Ganti)	-			Baik	
1259			Ruangan Dokter NICU	-			Baik	
1260			Ruang Rawat Pasien/ NICU	-			Baik	
1261			Sentral Monitoring/Nurse Station NICU	-			Baik	
1262			Gudang Alat Medik	-			Baik	
1263			Gudang Bersih (Clean Utility)	-			Baik	
1264			Gudang Kotor (Ruangan Spoel Hoek/ Dirty Utility)	-			Baik	
1265			Ruangan Tunggu Keluarga Pasien	-			Baik	
1266			Ruangan Administrasi	-			Baik	
1267			Janitor / Ruang Cleaning Service	-			Baik	
1268			Toilet Pengunjung	-			Baik	
1269			Toilet Petugas	-			Baik	
1270			Ruangan Kepala Perawat	-			Baik	
**		Pelayanan Deteksi Dini Kanker dan PKRS						
1488			Ruang Periksa 4	-			Baik	
1485			Ruangan Periksa 1	-			Baik	
1486			Ruangan Periksa 2	-			Baik	
1487			Ruangan Periksa 3	-			Baik	
1489			Ruangan Dokter	-			Baik	
1492			Ruangan Konsultasi	-			Baik	
1490			Ruangan Kepala Instalasi	-			Baik	
1491			Ruangan Pendaftaran	-			Baik	
1493			Ruang Tunggu	-			Baik	
1494			Ruang Ganti Pasien	-			Baik	
**		Pelayanan Rawat Inap Khusus						
1536			Ruang HCU	-			Baik	
1537			Ruang Perawatan VIP	Ada	2016		Baik	
**		Pelayanan Perawatan Intensif Anak (PICU)						
1272			Loker (Ruang Ganti)	-			Baik	
1274			Ruangan Perawat PICU	-			Baik	
1275			Ruangan Kepala Perawat	-			Baik	
1276			Ruangan Dokter	-			Baik	
1277			Ruangan Perawatan Pasien PICU	-			Baik	
1278			Sentral Monitoring/Nurse Station PICU	-			Baik	
1280			Gudang Alat Medik	-			Baik	
1281			Gudang Bersih (Clean Utility)	-			Baik	
1282			Gudang Kotor (Ruangan Spoel Hoek/ Dirty Utility)	-			Baik	
1283			Ruangan Tunggu Keluarga Pasien	-			Baik	
1284			Ruangan Administrasi	-			Baik	
1285			Janitor / Ruang Cleaning Service	-			Baik	
1286			Toilet Pengunjung	-			Baik	
1287			Toilet Petugas	-			Baik	
**		Pelayanan Perawatan Tingkat Tinggi (HCU)						
1392			Ruangan Perawatan HCU	Ada	2022		Baik	
1393			Ruangan Kepala HCU	-			Baik	
1394			Ruangan Tindakan HCU	-			Baik	
1395			Ruangan Perawat HCU	-			Baik	
1396			Ruangan Cuci Spoel Hok HCU	Ada	2022		Baik	
1397			Gudang HCU	-			Baik	
1398			Ruangan Tunggu HCU	-			Baik	
**		Pelayanan Cathlab						
1526			Diagnostik Invasif, INB	-			Baik	
**		Pelayanan Teknologi Reproduksi Berbantu						
1533			Ruang Periksa	-			Baik	
1534			Lab IVF	-			Baik	
*	Penunjang Medik RS							
**		Instalasi Radioterapi						
1473			Ruangan Microselectron	-			Baik	
1468			Ruangan Petugas Radiografer	Ada	2017		Baik	
1471			Ruang Periksa 2	-			Baik	
984			Ruangan Moulding	-			Baik	
970			Ruangan Penerimaan, Pendaftaran, Pembayaran dan Pengambilan Hasil	-			Baik	
971			Ruangan Administrasi	Ada	2017		Baik	
972			Ruangan Arsip dan Rekam Medik	-			Baik	
973			Ruangan Pemeriksaan dan Konsultasi	Ada	2017		Baik	
975			Ruangan Tunggu Pasien	Ada	2017		Baik	
979			Ruangan Tunggu Pasien Tirah Baring	-			Baik	
985			Ruangan Kemoterapi	-			Baik	
986			Ruangan Simulator	-			Baik	
987			Ruangan Terapi Penyinaran (Treatment Room)/Theraphy	-			Baik	
988			Ruangan Kontrol Kualitas (Quality Control)	-			Baik	
989			Ruangan Fisikawan Medik	-			Baik	
990			Ruangan Petugas	-			Baik	
991			Pantri	-			Baik	
993			Ruangan Ganti Petugas	-			Baik	
994			Ruangan Ganti Pasien	-			Baik	
995			Ruangan Diskusi	-			Baik	
997			Toilet Petugas/Pasien	-			Baik	
1466			Ruangan Dokter	-			Baik	
1467			Ruangan Kepala Instalasi	-			Baik	
1469			Ruangan Sekretariat	-			Baik	
1470			Ruang Periksa 1	-			Baik	
